,PV,nonCriticalLoad,criticalLoad
05/25/2015 0515,-0.1,2799.8289999999997,846.245
05/25/2015 0530,-0.1,2803.015,850.735
05/25/2015 0545,-0.1,2837.6859999999997,843.8870000000001
05/25/2015 0600,-0.1,2875.23,843.469
05/25/2015 0615,-0.1,2895.961,858.896
05/25/2015 0630,13.25906002713163,2963.6830000000004,873.141
05/25/2015 0645,25.707276470774328,3001.5910000000003,883.604
05/25/2015 0700,37.25192028463867,3112.839,891.902
05/25/2015 0715,61.00696365063866,3201.962,923.36
05/25/2015 0730,99.06767030116161,3302.21,952.691
05/25/2015 0745,150.04875154327806,3419.7569999999996,980.18
05/25/2015 0800,210.6533633511734,3552.561,1026.161
05/25/2015 0815,277.1499396237546,3676.2340000000004,1068.5610000000001
05/25/2015 0830,346.2101804401477,3809.8349999999996,1123.025
05/25/2015 0845,415.24998016717086,3930.727,1152.6680000000001
05/25/2015 0900,482.4750980333166,4064.505,1189.629
05/25/2015 0915,546.7770460123697,4160.826000000001,1217.838
05/25/2015 0930,607.5680754354715,4282.98,1246.339
05/25/2015 0945,664.6062206094712,4389.297,1284.064
05/25/2015 1000,717.8382606408496,4492.438,1306.2240000000002
05/25/2015 1015,767.2748397508728,4537.619,1324.641
05/25/2015 1030,812.9037268860806,4581.143,1356.136
05/25/2015 1045,854.6420337008975,4603.5380000000005,1376.459
05/25/2015 1100,892.325019964501,4657.751000000001,1379.757
05/25/2015 1115,925.7269660390608,4660.455999999999,1399.062
05/25/2015 1130,954.6081010691873,4682.8330000000005,1398.591
05/25/2015 1145,978.780520552207,4690.954,1391.7690000000002
05/25/2015 1200,998.1846919882338,4670.649,1384.0810000000001
05/25/2015 1215,1012.9652747410811,4702.562000000001,1387.8590000000002
05/25/2015 1230,1023.526652982229,4674.821,1395.636
05/25/2015 1245,1030.5207620670374,4662.251,1377.44
05/25/2015 1300,1034.6302506041734,4631.098,1374.301
05/25/2015 1315,1035.9212383178526,4624.9439999999995,1368.317
05/25/2015 1330,1033.766585926519,4630.786,1371.723
05/25/2015 1345,1028.5194616534616,4585.754,1368.77
05/25/2015 1400,1020.4779807524216,4555.968000000001,1361.397
05/25/2015 1415,1009.0738737040191,4558.474999999999,1361.404
